"CapturedAt","ComputerName","Manufacturer","Model","OS","CPU","TotalRAM_GB","Uptime_Hours","RankByMemory","ProcessName","ProcessId","Memory_MB","CPU_TotalSeconds","Threads","Handles","StartTime"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","1","chrome","16220","1036.96","638.92","76","3594","2026-09-11 09:50:50"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","2","OneDrive","2520","834.18","1534.83","39","1165","2026-09-11 09:49:40"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","3","explorer","10380","826.52","2642.75","399","15856","2026-09-11 09:49:08"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","4","WorkloadsSessionHost","26080","776.02","104.03","40","587","2026-09-11 09:54:11"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","5","WorkloadsSessionHost","17576","722.72","13.36","103","467","2026-09-11 09:49:18"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","6","chrome","22156","650.11","1016.8","58","899","2026-09-11 10:04:30"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","7","MsMpEng","7504","568.71","1650.05","68","1161","2026-09-11 09:49:07"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","8","chrome","14772","567.07","301.91","35","457","2026-09-11 11:15:06"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","9","msedge","10420","539.41","22.23","56","2413","2026-09-11 12:14:17"
"2026-09-11 13:26:49","DESKTOP-96N9HJ3","HP","HP OmniBook X Flip Laptop 14-fk0xxx","Microsoft Windows 11 Home","AMD Ryzen AI 7 350 w/ Radeon 860M","31.28","3.64","10","chrome","23020","534.17","77.98","30","609","2026-09-11 10:22:31"
